No. ;Tipe Akun;Kode Perkiraan;Nama;Akun Induk;Mata Uang;Saldo Awal;per Tgl
49;Kas & Bank;1101;Kas & Bank;;IDR;;
50;Kas & Bank;110101;Kas Kecil;1101;IDR;;
9;Kas & Bank;110102;Bank;1101;IDR;;
85;Kas & Bank;1102;Setara Kas;;IDR;;
40;Kas & Bank;110201;Deposito Bank;1102;IDR;;
82;Piutang Usaha;1103;Piutang Usaha;;IDR;;
83;Piutang Usaha;110301;Piutang Usaha IDR;1103;IDR;;
88;Piutang Usaha;110302;Uang Muka Pembelian IDR;1103;IDR;;
79;Persediaan;1104;Persediaan;;IDR;;
80;Persediaan;110401;Persediaan;1104;IDR;;
81;Persediaan;110402;Persediaan Terkirim;1104;IDR;;
6;Aset Lancar Lainnya;1105;Aset Lancar Lainnya;;IDR;;
78;Aset Lancar Lainnya;110501;Perlengkapan Kantor;1105;IDR;;
86;Aset Lancar Lainnya;110502;Sewa Gedung Dibayar Dimuka;1105;IDR;;
8;Aset Lancar Lainnya;110503;Asuransi Dibayar Dimuka;1105;IDR;;
65;Aset Lancar Lainnya;110504;PPN Masukan;1105;IDR;;
67;Aset Lancar Lainnya;110505;PPh 23 Penjualan;1105;IDR;;
7;Aset Tetap;1200;Aset Tetap;;IDR;;
87;Aset Tetap;120001;Tanah;1200;IDR;;
45;Aset Tetap;120002;Gedung;1200;IDR;;
51;Aset Tetap;120003;Kendaraan;1200;IDR;;
77;Aset Tetap;120004;Peralatan;1200;IDR;;
48;Aset Tetap;120005;Inventaris Kantor;1200;IDR;;
1;Akumulasi  Penyusutan;120006;Akumulasi Depresiasi Aset Tetap;;IDR;;
2;Akumulasi  Penyusutan;12000601;Akumulasi Penyusutan Gedung;120006;IDR;;
4;Akumulasi  Penyusutan;12000602;Akumulasi Penyusutan Kendaraan;120006;IDR;;
5;Akumulasi  Penyusutan;12000603;Akumulasi Penyusutan Peralatan;120006;IDR;;
3;Akumulasi  Penyusutan;12000604;Akumulasi Penyusutan Inventaris Kantor;120006;IDR;;
90;Utang Usaha;2101;Utang Usaha;;IDR;;
91;Utang Usaha;210101;Utang Usaha IDR;2101;IDR;;
89;Utang Usaha;210102;Uang Muka Penjualan IDR;2101;IDR;;
52;Liabilitas Jangka Pendek;2102;Kewajiban Jangka Pendek Lainnya;;IDR;;
64;Liabilitas Jangka Pendek;210201;PPN Keluaran;2102;IDR;;
66;Liabilitas Jangka Pendek;210202;PPh 23 Pembelian;2102;IDR;;
47;Liabilitas Jangka Pendek;210203;Hutang Pembelian Belum Ditagih;2102;IDR;;
46;Liabilitas Jangka Panjang;2201;Hutang Jangka Panjang;;IDR;;
62;Modal;3000;Modal;;IDR;;
44;Modal;300001;Equitas Saldo Awal;3000;IDR;;
53;Modal;300002;Laba Ditahan;3000;IDR;;
63;Modal;300003;Modal Saham;3000;IDR;;
74;Pendapatan;4000;Pendapatan Operasional;;IDR;;
75;Pendapatan;400001;Penjualan;4000;IDR;;
72;Pendapatan;400002;Pendapatan Jasa;4000;IDR;;
84;Pendapatan;400003;Retur Penjualan;4000;IDR;;
41;Pendapatan;400004;Diskon Penjualan;4000;IDR;;
42;Pendapatan;4401;Diskon Penjualan;;IDR;;
43;Pendapatan;440101;Diskon Penjualan IDR;4401;IDR;;
33;Beban Pokok Penjualan;5101;Beban Pokok Penjualan;;IDR;;
23;Beban;6000;Beban Operasional;;IDR;;
19;Beban;600001;Beban Iklan;6000;IDR;;
21;Beban;600002;Beban Komisi;6000;IDR;;
12;Beban;600003;Beban Bensin, Parkir, Tol Kendaraan;6000;IDR;;
18;Beban;600004;Beban Gaji, Upah & Honorer;6000;IDR;;
13;Beban;600005;Beban Bonus, Pesangon & Kompensasi;6000;IDR;;
38;Beban;600006;Beban Transportasi Karyawan;6000;IDR;;
20;Beban;600007;Beban Katering & Makan Karyawan;6000;IDR;;
39;Beban;600008;Beban Tunjangan Kesehatan;6000;IDR;;
11;Beban;600009;Beban Asuransi Karyawan;6000;IDR;;
36;Beban;600010;Beban THR;6000;IDR;;
22;Beban;600011;Beban Listrik;6000;IDR;;
25;Beban;600012;Beban PAM;6000;IDR;;
37;Beban;600013;Beban Telekomunikasi;6000;IDR;;
17;Beban;600014;Beban Ekspedisi, Pos & Materai;6000;IDR;;
31;Beban;600015;Beban Perjalanan Dinas;6000;IDR;;
32;Beban;600016;Beban Perlengkapan Kantor;6000;IDR;;
26;Beban;600017;Beban Pajak Penghasilan;6000;IDR;;
34;Beban;600018;Beban Retribusi & Sumbangan;6000;IDR;;
35;Beban;600019;Beban Sewa Gedung;6000;IDR;;
24;Beban;600020;Beban Operasional Lainnya;6000;IDR;;
27;Beban;600021;Beban Penyusutan Gedung;6000;IDR;;
29;Beban;600022;Beban Penyusutan Kendaraan;6000;IDR;;
30;Beban;600023;Beban Penyusutan Peralatan;6000;IDR;;
28;Beban;600024;Beban Penyusutan Inventaris Kantor;6000;IDR;;
70;Pendapatan lainnya;7100;Pendapatan Diluar Usaha;;IDR;;
73;Pendapatan lainnya;710001;Pendapatan Jasa Giro;7100;IDR;;
69;Pendapatan lainnya;710002;Pendapatan Bunga Deposito;7100;IDR;;
76;Pendapatan lainnya;710003;Penjualan Persediaan / Perlengkapan;7100;IDR;;
58;Pendapatan lainnya;710004;Laba/Rugi Revaluasi Aset;7100;IDR;;
71;Pendapatan lainnya;710005;Pendapatan Diluar Usaha Lainnya;7100;IDR;;
15;Beban Lainnya;7200;Beban Diluar Usaha;;IDR;;
14;Beban Lainnya;720001;Beban Bunga Pinjaman;7200;IDR;;
10;Beban Lainnya;720002;Beban Adm. Bank & Buku Cek/Giro;7200;IDR;;
68;Beban Lainnya;720003;Pajak Jasa Giro;7200;IDR;;
59;Beban Lainnya;720004;Laba/Rugi Terealisasi;7200;IDR;;
54;Beban Lainnya;720005;Laba/Rugi Belum Terealisasi;7200;IDR;;
57;Beban Lainnya;720006;Laba/Rugi Disposisi Aset;7200;IDR;;
16;Beban Lainnya;720007;Beban Diluar Usaha Lainnya;7200;IDR;;
60;Beban Lainnya;7201;Laba/Rugi Terealisasi;;IDR;;
61;Beban Lainnya;720101;Laba/Rugi Terealisasi IDR;7201;IDR;;
55;Beban Lainnya;7202;Laba/Rugi Belum Terealisasi;;IDR;;
