No. ;Tipe Akun;Kode Perkiraan;Nama;Akun Induk;Mata Uang;Saldo Awal;per Tgl;Kurs Saldo (Jika Asing);Cabang Saldo
1;DEPR;120006;Akumulasi Depresiasi Aset Tetap;;IDR;;;;
2;DEPR;12000601;Akumulasi Penyusutan Gedung;120006;IDR;;;;
3;DEPR;12000604;Akumulasi Penyusutan Inventaris Kantor;120006;IDR;;;;
4;DEPR;12000602;Akumulasi Penyusutan Kendaraan;120006;IDR;;;;
5;DEPR;12000603;Akumulasi Penyusutan Peralatan;120006;IDR;;;;
6;OCAS;1105;Aset Lancar Lainnya;;IDR;;;1;
7;FASS;1200;Aset Tetap;;IDR;;;;
8;OCAS;110503;Asuransi Dibayar Dimuka;1105;IDR;;;1;
9;BANK;110102;Bank;1101;IDR;;;1;
10;OEXP;720002;Beban Adm. Bank & Buku Cek/Giro;7200;IDR;;;1;
11;EXPS;600009;Beban Asuransi Karyawan;6000;IDR;;;1;
12;EXPS;600003;Beban Bensin, Parkir, Tol Kendaraan;6000;IDR;;;1;
13;EXPS;600005;Beban Bonus, Pesangon & Kompensasi;6000;IDR;;;1;
14;OEXP;720001;Beban Bunga Pinjaman;7200;IDR;;;1;
15;OEXP;7200;Beban Diluar Usaha;;IDR;;;1;
16;OEXP;720007;Beban Diluar Usaha Lainnya;7200;IDR;;;1;
17;EXPS;600014;Beban Ekspedisi, Pos & Materai;6000;IDR;;;1;
18;EXPS;600004;Beban Gaji, Upah & Honorer;6000;IDR;;;1;
19;EXPS;600001;Beban Iklan;6000;IDR;;;1;
20;EXPS;600007;Beban Katering & Makan Karyawan;6000;IDR;;;1;
21;EXPS;600002;Beban Komisi;6000;IDR;;;1;
22;EXPS;600011;Beban Listrik;6000;IDR;;;1;
23;EXPS;6000;Beban Operasional;;IDR;;;1;
24;EXPS;600020;Beban Operasional Lainnya;6000;IDR;;;1;
25;EXPS;600012;Beban PAM;6000;IDR;;;1;
26;EXPS;600017;Beban Pajak Penghasilan;6000;IDR;;;1;
27;EXPS;600021;Beban Penyusutan Gedung;6000;IDR;;;1;
28;EXPS;600024;Beban Penyusutan Inventaris Kantor;6000;IDR;;;1;
29;EXPS;600022;Beban Penyusutan Kendaraan;6000;IDR;;;1;
30;EXPS;600023;Beban Penyusutan Peralatan;6000;IDR;;;1;
31;EXPS;600015;Beban Perjalanan Dinas;6000;IDR;;;1;
32;EXPS;600016;Beban Perlengkapan Kantor;6000;IDR;;;1;
33;COGS;5101;Beban Pokok Penjualan;;IDR;;;1;
34;EXPS;600018;Beban Retribusi & Sumbangan;6000;IDR;;;1;
35;EXPS;600019;Beban Sewa Gedung;6000;IDR;;;1;
36;EXPS;600010;Beban THR;6000;IDR;;;1;
37;EXPS;600013;Beban Telekomunikasi;6000;IDR;;;1;
38;EXPS;600006;Beban Transportasi Karyawan;6000;IDR;;;1;
39;EXPS;600008;Beban Tunjangan Kesehatan;6000;IDR;;;1;
40;BANK;110201;Deposito Bank;1102;IDR;;;1;
41;REVE;400004;Diskon Penjualan;4000;IDR;;;1;
42;REVE;4401;Diskon Penjualan;;IDR;;;1;
43;REVE;440101;Diskon Penjualan IDR;4401;IDR;;;1;
44;EQTY;300001;Equitas Saldo Awal;3000;IDR;;;;
45;FASS;120002;Gedung;1200;IDR;;;;
46;LTLY;2201;Hutang Jangka Panjang;;IDR;;;1;
47;OCLY;210203;Hutang Pembelian Belum Ditagih;2102;IDR;;;1;
48;FASS;120005;Inventaris Kantor;1200;IDR;;;;
49;BANK;1101;Kas & Bank;;IDR;;;1;
50;BANK;110101;Kas Kecil;1101;IDR;;;1;
51;FASS;120003;Kendaraan;1200;IDR;;;;
52;OCLY;2102;Kewajiban Jangka Pendek Lainnya;;IDR;;;1;
53;EQTY;300002;Laba Ditahan;3000;IDR;;;;
54;OEXP;720005;Laba/Rugi Belum Terealisasi;7200;IDR;;;1;
55;OEXP;7202;Laba/Rugi Belum Terealisasi;;IDR;;;1;
56;OEXP;720201;Laba/Rugi Belum Terealisasi IDR;7202;IDR;;;1;
57;OEXP;720006;Laba/Rugi Disposisi Aset;7200;IDR;;;1;
58;OINC;710004;Laba/Rugi Revaluasi Aset;7100;IDR;;;1;
59;OEXP;720004;Laba/Rugi Terealisasi;7200;IDR;;;1;
